,text,type
2829,Someone who is eithor ugly or modern is always important.,rule
2830,All not ambitious people are not mad.,rule
2831,"If there is someone who is either important or not mad, then Quillan is not severe.",rule
2832,Tommy is whispering.,fact
2833,Abraham is not additional.,fact
2834,Kim is additional.,fact
2835,Kim is large.,fact
2836,Rachelle is whispering.,fact
2837,Chalmers is not hard-working.,fact
2838,Rachelle is not funny.,fact
2839,Tommy is not logical.,fact
2840,Abraham is not funny.,fact
2841,Kim is funny.,fact
2842,Chalmers is not whispering.,fact
2843,Tommy is hard-working.,fact
2844,"If someone is not hard-working, then he is both not funny and not logical.",rule
2845,"If someone is not hard-working and large, then he is whispering, and vice versa.",rule
2846,"If someone is not logical, then he is both additional and large.",rule
2847,"If there is someone who is either additional or not large, then Miranda is not funny.",rule
2848,"If someone is not large or not logical, then he is additional.",rule
2849,Miranda being whispering and Garrick being additional imply that Abraham is not funny.,rule
2850,Someone is not logical and not hard-working if and only if he is not additional and whispering.,rule
2851,"If Chalmers is funny, then Chalmers is whispering and Garrick is additional.",rule
2852,All whispering people are large.,rule
2853,"If there is at least one people who is large or not hard-working, then Chalmers is funny.",rule
2854,"If someone is not hard-working and not logical, then he is both not whispering and additional, and vice versa.",rule
2855,"If Tommy is whispering, then Tommy is hard-working and Kim is not funny, and vice versa.",rule
2856,Hunter is not fine.,fact
2857,Coleman is not bloody.,fact
2858,Coleman is fine.,fact
2859,Melody is not blue-eyed.,fact
2860,Melody is not annoyed.,fact
2861,Melody is not sincere.,fact
2862,Melody is not ancient.,fact
2863,Melody is not fine.,fact
2864,Coleman is not ancient.,fact
2865,Kimberly is ancient.,fact
2866,Kimberly is annoyed.,fact
2867,Hunter is blue-eyed.,fact
2868,"If Kimberly is not blue-eyed and Laurence is fine, then Sophie is bloody and Melody is annoyed, and vice versa.",rule
2869,"If there is at least one people who is annoyed or ancient, then Sophie is sincere.",rule
2870,Someone who is eithor fine or not bloody is always ancient.,rule
2871,Laurence being not bloody is equivalent to Hunter being not fine.,rule
2872,"If someone is ancient, then he is not fine.",rule
2873,"If someone is not fine, then he is not annoyed, and vice versa.",rule
2874,Someone being both sincere and not annoyed is equivalent to being bloody and not blue-eyed.,rule
2875,"If there is someone who is not ancient, then Kimberly is not fine.",rule
2876,It can be concluded that Hunter is blue-eyed and Coleman is not fine once knowing that Sophie is bloody.,rule
2877,"If Laurence is fine, then Kimberly is sincere and Laurence is not bloody, and vice versa.",rule
2878,It can be concluded that Sophie is bloody and Marlin is annoyed once knowing that Kimberly is not ancient and Hunter is fine.,rule
2879,"If there is at least one people who is blue-eyed, then Kimberly is not ancient and Laurence is bloody.",rule
2880,Alisa is not miniscule.,fact
2881,Joe is sticky.,fact
2882,Sheridan is curious.,fact
2883,Joe is not steep.,fact
2884,Sheridan is brave.,fact
2885,Sheridan is not sticky.,fact
2886,Joe is brave.,fact
2887,Joe is not curious.,fact
2888,Alexander is not curious.,fact
2889,Alexander is massive.,fact
2890,Alisa is not curious.,fact
2891,Deborah is sticky.,fact
2892,Sheridan being brave implies that Gilbert is not steep and Chrysta is curious.,rule
2893,"If there is at least one people who is not steep, then Alisa is not miniscule.",rule
2894,Someone being both not brave and not miniscule is equivalent to being sticky and not curious.,rule
2895,Someone being miniscule is equivalent to being not curious.,rule
2896,Alisa being not steep is equivalent to Joe being massive.,rule
2897,Someone who is both miniscule and sticky is always curious.,rule
2898,It can be concluded that Chrysta is not sticky and Gilbert is miniscule once knowing that Deborah is not steep.,rule
2899,"If Alisa is steep and Alexander is massive, then Chrysta is not sticky.",rule
2900,"If Deborah is not massive or Deborah is not steep, then Alisa is not sticky.",rule
2901,"If Sheridan is not steep or Alexander is curious, then Sheridan is miniscule.",rule
2902,Sheridan being brave is equivalent to Sheridan being massive and Alisa being not curious.,rule
2903,"If there is nobody who is not not sticky, then Alexander is not curious.",rule
2904,Solomon is not ugly.,fact
2905,Blanche is not crazy.,fact
2906,Solomon is not crazy.,fact
2907,Sabrina is ugly.,fact
2908,Stephen is tired.,fact
2909,Blanche is self-disciplined.,fact
2910,Hector is not self-disciplined.,fact
2911,Solomon is dizzy.,fact
2912,Hartley is self-disciplined.,fact
2913,Blanche is ugly.,fact
2914,Solomon is not tired.,fact
2915,Stephen is self-disciplined.,fact
2916,It can be concluded that Sabrina is self-disciplined and Blanche is ugly once knowing that Stephen is crazy.,rule
2917,"If someone is ugly, then he is both salty and self-disciplined.",rule
2918,"As long as someone is not ugly, he is not tired and not self-disciplined.",rule
2919,It can be concluded that Solomon is not salty and Hector is crazy once knowing that Hector is not ugly and Blanche is dizzy.,rule
2920,"If someone is both not dizzy and not self-disciplined, then he is crazy.",rule
2921,Halden being self-disciplined or Sabrina being not crazy implies that Blanche is not ugly.,rule
2922,Someone is salty and not tired if and only if he is not self-disciplined.,rule
2923,Someone who is both not crazy and not ugly is always self-disciplined.,rule
2924,Blanche being not tired implies that Solomon is not self-disciplined and Stephen is not crazy.,rule
2925,Someone is not ugly if and only if he is crazy.,rule
2926,It can be concluded that Solomon is not dizzy once knowing that Hector is self-disciplined and Stephen is not salty.,rule
2927,Someone who is crazy is always both tired and salty.,rule
2928,Charles is not puny.,fact
2929,Albert is crazy.,fact
2930,Arthur is warm-hearted.,fact
2931,Murray is not placid.,fact
2932,Arthur is puny.,fact
2933,Della is not puny.,fact
2934,Philbert is not warm-hearted.,fact
2935,Charles is not sticky.,fact
2936,Della is not placid.,fact
2937,Arthur is not sticky.,fact
2938,Philbert is not placid.,fact
2939,Della is not warm-hearted.,fact
2940,"If Albert is puny or Hanna is sticky, then Charles is crazy.",rule
2941,It can be concluded that Albert is discreet once knowing that Murray is not placid.,rule
2942,Someone being both not sticky and not warm-hearted is equivalent to being not puny.,rule
2943,It can be concluded that Arthur is not puny and Charles is not discreet once knowing that Arthur is warm-hearted.,rule
2944,Arthur being puny implies that Arthur is discreet and Della is crazy.,rule
2945,Della being not discreet is equivalent to Murray being placid and Charles being not sticky.,rule
2946,Albert being not discreet is equivalent to Charles being sticky.,rule
2947,Someone being both not warm-hearted and not crazy is equivalent to being placid and puny.,rule
2948,"If someone who is warm-hearted is also not puny, then he is not placid.",rule
2949,"If there is someone who is either not warm-hearted or crazy, then Hanna is placid.",rule
2950,It can be concluded that Charles is discreet once knowing that Charles is placid or Arthur is warm-hearted.,rule
2951,Arthur being not discreet or Albert being not sticky implies that Murray is not placid.,rule
2952,Grant is existing.,fact
2953,Samson is joyous.,fact
2954,Gloria is defeated.,fact
2955,Grant is not joyous.,fact
2956,Bevis is defeated.,fact
2957,Lucy is mental.,fact
2958,Bevis is not joyous.,fact
2959,Grant is not defeated.,fact
2960,Bevis is mental.,fact
2961,Lucy is miniscule.,fact
2962,Gloria is not small.,fact
2963,Bevis is not miniscule.,fact
2964,Someone is existing if and only if he is defeated.,rule
2965,Someone is mental and not small if and only if he is defeated and not miniscule.,rule
2966,"If there is someone who is not joyous, then Samson is existing.",rule
2967,"If someone is defeated or joyous, then he is not mental.",rule
2968,"If there is someone who is both not miniscule and not defeated, then Lucy is not existing.",rule
2969,"If there is at least one people who is not miniscule or not defeated, then Gloria is joyous.",rule
2970,"As long as someone is defeated and not mental, he is not existing and miniscule.",rule
2971,Someone who is not defeated is always miniscule.,rule
2972,Someone being both mental and not miniscule is equivalent to being joyous.,rule
2973,Bevis being not mental and Lucy being miniscule imply that Bevis is existing and Grant is defeated.,rule
2974,"If Jerry is mental, then Gloria is not small.",rule
2975,"If there is someone who is both small and not existing, then Jerry is not miniscule.",rule
2976,Marlin is agreeable.,fact
2977,Sidney is not aggressive.,fact
2978,Rex is elegant.,fact
2979,Hall is political.,fact
2980,Sidney is clever.,fact
2981,Hall is not elegant.,fact
2982,Kimball is clever.,fact
2983,Kimberly is political.,fact
2984,Kimball is aggressive.,fact
2985,Kimberly is agreeable.,fact
2986,Kimberly is not clever.,fact
2987,Sidney is not magnificent.,fact
2988,"If there is at least one people who is not political, then Marlin is not elegant and Marlin is not aggressive.",rule
2989,"If there is at least one people who is aggressive or political, then Marlin is not clever.",rule
2990,It can be concluded that Connell is not clever once knowing that Kimball is not magnificent or Connell is aggressive.,rule
2991,"If someone is aggressive or he is not elegant, then he is not political.",rule
2992,Marlin is political if and only if Sidney is not elegant and Kimberly is clever.,rule
2993,"If there is someone who is clever, then Connell is not magnificent.",rule
2994,Someone who is not aggressive or not political is always not elegant and magnificent.,rule
2995,"If someone is magnificent or aggressive, then he is agreeable.",rule
2996,"If someone is agreeable and not aggressive, then he is both clever and not elegant, and vice versa.",rule
2997,"If there is someone who is elegant, then Rex is agreeable and Rex is clever.",rule
2998,"If there is someone who is not elegant, then Connell is not magnificent.",rule
2999,It can be concluded that Sidney is not agreeable once knowing that Sidney is not elegant and Rex is not magnificent.,rule
3000,Ambrose is not fine.,fact
3001,Neil is black.,fact
3002,Neil is humble.,fact
3003,Neil is fine.,fact
3004,Hamlin is humble.,fact
3005,Neil is not safe.,fact
3006,Quillan is not black.,fact
3007,Ambrose is smart.,fact
3008,Theobold is safe.,fact
3009,Alastair is not fine.,fact
3010,Alastair is black.,fact
3011,Ambrose is safe.,fact
3012,"If someone is willing, then he is both not humble and fine.",rule
3013,"If there is at least one people who is humble, then Theobold is not smart and Brian is black.",rule
3014,Ambrose is not fine if and only if Brian is black.,rule
3015,"If someone is smart or safe, then he is not fine.",rule
3016,It can be concluded that Quillan is black and Alastair is fine once knowing that Ambrose is smart.,rule
3017,"As long as someone is humble, he is not safe and willing.",rule
3018,Brian being not black and Ambrose being not safe imply that Brian is fine.,rule
3019,"if there is at least one people who is not smart and safe, then Quillan is not willing and Neil is black.",rule
3020,"If someone is smart, then he is safe.",rule
3021,Someone being both not black and not smart is equivalent to being willing and safe.,rule
3022,Theobold being not fine or Theobold being humble implies that Hamlin is not willing.,rule
3023,"If someone is both safe and willing, then he is not fine.",rule
3024,Quade is impossible.,fact
3025,Nathalie is not loyal.,fact
3026,Quade is weak.,fact
3027,Alexis is smoggy.,fact
3028,Alexis is loyal.,fact
3029,Brooke is smoggy.,fact
3030,Brooke is oak.,fact
3031,Marcus is oak.,fact
3032,Nathalie is weak.,fact
3033,Nathalie is oak.,fact
3034,Brooke is not ugliest.,fact
3035,Alexis is impossible.,fact
3036,John being ugliest implies that Greyson is not smoggy.,rule
3037,Someone who is impossible is always not weak.,rule
3038,Nathalie being not smoggy implies that Nathalie is loyal and Greyson is weak.,rule
3039,"If Quade is not ugliest, then Brooke is loyal and Quade is oak.",rule
3040,Marcus is oak if and only if Marcus is not weak.,rule
3041,"If there is nobody who is not oak, then John is smoggy and Marcus is not ugliest.",rule
3042,"If there is at least one people who is not ugliest, then Greyson is weak and Brooke is loyal.",rule
3043,Someone who is not smoggy and not oak is always not weak and ugliest.,rule
3044,"If there is someone who is not loyal, then Brooke is oak and Quade is smoggy.",rule
3045,"If someone is not loyal and weak, then he is both not oak and not smoggy, and vice versa.",rule
3046,"If there is at least one people who is loyal or not impossible, then Brooke is ugliest.",rule
3047,Someone who is not impossible is always both oak and weak.,rule
3048,Jessie is not curious.,fact
3049,Lucille is not successful.,fact
3050,Baldwin is not odd.,fact
3051,Robert is not odd.,fact
3052,Baldwin is not successful.,fact
3053,Ashley is not funny.,fact
3054,Beverly is not curious.,fact
3055,Lucille is generous.,fact
3056,Lucille is not odd.,fact
3057,Heath is not successful.,fact
3058,Jessie is not successful.,fact
3059,Lucille is not funny.,fact
3060,Someone who is not guilty is always both odd and funny.,rule
3061,Someone being both not successful and odd is equivalent to being not generous and funny.,rule
3062,"If Lucille is odd or Robert is not successful, then Lucille is not curious.",rule
3063,"If someone is successful or guilty, then he is not generous.",rule
3064,It can be concluded that Beverly is not curious once knowing that Beverly is not generous and Baldwin is successful.,rule
3065,"If there is nobody who is not funny, then Jessie is odd.",rule
3066,"If someone is curious, then he is not funny, and vice versa.",rule
3067,"If there is at least one people who is not guilty, then Beverly is not odd and Baldwin is not funny.",rule
3068,"If all people are not guilty or successful, then Robert is not odd.",rule
3069,"If someone is not funny, then he is not successful.",rule
3070,Someone is odd and not successful if and only if he is not funny.,rule
3071,Heath being funny implies that Beverly is not generous and Baldwin is successful.,rule
3072,Clark is fair-minded.,fact
3073,Sophie is adorable.,fact
3074,Sophie is not fair-minded.,fact
3075,Quillan is not clear.,fact
3076,Kianna is adorable.,fact
3077,Kianna is foolish.,fact
3078,Kimberly is not hilarious.,fact
3079,Guy is famous.,fact
3080,Kianna is not fair-minded.,fact
3081,Sophie is not foolish.,fact
3082,Sophie is not hilarious.,fact
3083,Kilian is not clear.,fact
3084,Someone being not foolish is equivalent to being adorable.,rule
3085,It can be concluded that Clark is not clear once knowing that Quillan is fair-minded and Clark is not adorable.,rule
3086,"If Kianna is clear, then Guy is foolish and Kimberly is famous.",rule
3087,It can be concluded that Kimberly is foolish once knowing that Kilian is famous.,rule
3088,It can be concluded that Kilian is hilarious and Kianna is fair-minded once knowing that Sophie is not clear and Kilian is not foolish.,rule
3089,"If someone is famous or not hilarious, then he is not adorable.",rule
3090,Someone is not famous and not foolish if and only if he is not adorable.,rule
3091,"If Quillan is famous, then Sophie is foolish and Kilian is fair-minded, and vice versa.",rule
3092,"If someone is not foolish or not fair-minded, then he is not adorable.",rule
3093,"If there is at least one people who is both not clear and not fair-minded, then Guy is hilarious.",rule
3094,"If someone is not hilarious or clear, then he is not famous.",rule
3095,"If all people are not clear, then Guy is fair-minded.",rule
3096,Joe is good-tempered.,fact
3097,Kent is not angry.,fact
3098,Roy is not angry.,fact
3099,Joe is sincere.,fact
3100,Merlin is not serious.,fact
3101,Kingston is angry.,fact
3102,Merlin is not angry.,fact
3103,Joshua is not healthy.,fact
3104,Kent is not healthy.,fact
3105,Roy is serious.,fact
3106,Joe is not agreeable.,fact
3107,Brian is not serious.,fact
3108,Someone is not angry if and only if he is not serious.,rule
3109,"If Kingston is angry and Kingston is not good-tempered, then Brian is sincere.",rule
3110,Roy is serious if and only if Kent is angry.,rule
3111,"If Joe is not angry or Merlin is healthy, then Roy is sincere.",rule
3112,"If there is at least one people who is both not good-tempered and not angry, then Merlin is not agreeable.",rule
3113,"If there is someone who is both not healthy and not agreeable, then Joe is not good-tempered and Brian is sincere.",rule
3114,"If someone is good-tempered, then he is not healthy.",rule
3115,"If Roy is not good-tempered and Kent is sincere, then Kingston is angry and Joshua is not healthy.",rule
3116,"If someone is good-tempered, then he is sincere.",rule
3117,It can be concluded that Brian is not angry once knowing that Joshua is sincere or Merlin is not serious.,rule
3118,It can be concluded that Roy is not serious once knowing that Joshua is sincere or Joshua is healthy.,rule
3119,Joshua being not angry implies that Joe is healthy.,rule
3120,Nathalie is ugly.,fact
3121,Brian is not popular.,fact
3122,Gemma is round.,fact
3123,Kendrick is not popular.,fact
3124,Gemma is ugly.,fact
3125,Gemma is excited.,fact
3126,Casper is not excited.,fact
3127,Hector is not ugly.,fact
3128,Brian is not dangerous.,fact
3129,Gemma is popular.,fact
3130,Aldis is not popular.,fact
3131,Hector is round.,fact
3132,"If Kendrick is popular or Brian is excited, then Kendrick is dangerous.",rule
3133,"If everyone is dangerous or not grotesque, then Nathalie is round.",rule
3134,Someone is not dangerous and not grotesque if and only if he is excited.,rule
3135,"If someone is both ugly and round, then he is dangerous.",rule
3136,Someone who is not dangerous is always both round and grotesque.,rule
3137,"If Hector is not popular, then Hector is not excited.",rule
3138,Someone is round and not grotesque if and only if he is not ugly.,rule
3139,"If Gemma is not dangerous, then Aldis is ugly and Brian is not excited.",rule
3140,Nathalie being not grotesque and Kendrick being not excited imply that Gemma is popular.,rule
3141,Someone who is ugly is always popular.,rule
3142,"As long as someone is not ugly, he is dangerous and popular.",rule
3143,"If there is at least one people who is both excited and not ugly, then Casper is not round.",rule
3144,Homer is not tough.,fact
3145,Homer is small.,fact
3146,Benton is intellectual.,fact
3147,Homer is modern.,fact
3148,Brian is nice.,fact
3149,Igor is not nice.,fact
3150,Igor is not tough.,fact
3151,Brian is not modern.,fact
3152,Henry is not intellectual.,fact
3153,Benton is not small.,fact
3154,Benton is smoggy.,fact
3155,Igor is not intellectual.,fact
3156,Henry is not nice if and only if Henry is modern.,rule
3157,"If there is at least one people who is both intellectual and small, then Guy is nice.",rule
3158,It can be concluded that Jason is not intellectual once knowing that Homer is nice and Igor is not tough.,rule
3159,"if there is at least one people who is not nice and not smoggy, then Brian is modern and Igor is tough.",rule
3160,"If someone is not modern or he is not small, then he is not tough.",rule
3161,"If there is at least one people who is not intellectual or not small, then Guy is smoggy.",rule
3162,It can be concluded that Benton is small and Jason is not smoggy once knowing that Igor is not intellectual.,rule
3163,"As long as someone is intellectual, he is not tough and not nice.",rule
3164,Someone is intellectual and smoggy if and only if he is nice.,rule
3165,"If Benton is modern, then Henry is tough, and vice versa.",rule
3166,It can be concluded that Brian is intellectual once knowing that Igor is not tough or Henry is modern.,rule
3167,"If someone is small, then he is not nice.",rule
3168,Robert is not rude.,fact
3169,Rupert is ugly.,fact
3170,Chandler is not ugly.,fact
3171,Calvert is excited.,fact
3172,Rupert is rude.,fact
3173,Robert is not obedient.,fact
3174,Calvert is obedient.,fact
3175,Hadden is misty.,fact
3176,Chandler is not obedient.,fact
3177,Rupert is not misty.,fact
3178,Michael is obedient.,fact
3179,Michael is mental.,fact
3180,"If Michael is rude, then Calvert is obedient and Robert is ugly.",rule
3181,Someone who is not misty is always both mental and rude.,rule
3182,"If Igor is not ugly and Calvert is not obedient, then Hadden is excited.",rule
3183,"If there is someone who is either obedient or misty, then Hadden is not mental.",rule
3184,"If there is someone who is both rude and obedient, then Igor is not excited and Chandler is ugly.",rule
3185,Michael is not ugly if and only if Rupert is obedient.,rule
3186,Someone who is not excited is always misty.,rule
3187,Someone is obedient and not rude if and only if he is not excited.,rule
3188,"If Calvert is rude, then Rupert is not obedient and Calvert is mental, and vice versa.",rule
3189,Calvert being ugly implies that Igor is misty and Igor is not mental.,rule
3190,"If someone is rude, then he is both not excited and mental.",rule
3191,Someone is rude if and only if he is mental.,rule
3192,Baldwin is not neat.,fact
3193,Ambrose is not neat.,fact
3194,Hope is psychological.,fact
3195,Shawn is not miniscule.,fact
3196,Ambrose is miniscule.,fact
3197,Leona is tidy.,fact
3198,Jorge is dizzy.,fact
3199,Quade is neat.,fact
3200,Ambrose is psychological.,fact
3201,Ambrose is not tidy.,fact
3202,Ambrose is old-fashioned.,fact
3203,Quade is miniscule.,fact
3204,It can be concluded that Quade is dizzy once knowing that Baldwin is neat.,rule
3205,"If there is at least one people who is both not old-fashioned and not neat, then Shawn is dizzy.",rule
3206,"If Quade is dizzy, then Hope is not miniscule and Quade is not tidy.",rule
3207,"If Jorge is not tidy, then Ambrose is not neat, and vice versa.",rule
3208,"If there is at least one people who is miniscule, then Baldwin is not old-fashioned and Jorge is neat.",rule
3209,Baldwin being old-fashioned is equivalent to Leona being miniscule.,rule
3210,Someone is not neat if and only if he is not tidy.,rule
3211,Quade being not dizzy or Ambrose being psychological implies that Shawn is miniscule.,rule
3212,"If someone is dizzy and not tidy, then he is neat, and vice versa.",rule
3213,Someone is not old-fashioned and not miniscule if and only if he is not neat.,rule
3214,Someone is not tidy and miniscule if and only if he is not old-fashioned and not psychological.,rule
3215,"If all people are dizzy or miniscule, then Leona is old-fashioned.",rule
3216,Lane is not concerned.,fact
3217,Baldwin is creepy.,fact
3218,Sean is important.,fact
3219,Lee is plain.,fact
3220,Aubrey is not successful.,fact
3221,Lane is bloody.,fact
3222,Aubrey is plain.,fact
3223,Ted is not bloody.,fact
3224,Lane is creepy.,fact
3225,Aubrey is not creepy.,fact
3226,Sean is not successful.,fact
3227,Ted is not concerned.,fact
3228,"If there is at least one people who is both not successful and plain, then Baldwin is not concerned.",rule
3229,"If Baldwin is not creepy, then Ted is not successful, and vice versa.",rule
3230,"If there is someone who is not important, then Aubrey is not creepy.",rule
3231,"If there is at least one people who is creepy, then Lane is successful.",rule
3232,"If Lee is creepy and Lee is successful, then Lee is concerned.",rule
3233,It can be concluded that Baldwin is concerned once knowing that Aubrey is important.,rule
3234,Someone is creepy and not bloody if and only if he is not successful.,rule
3235,"As long as someone is either concerned or important, he is not successful and plain.",rule
3236,It can be concluded that Lane is not successful and Lee is bloody once knowing that Monique is not creepy.,rule
3237,"If Lane is not plain or Ted is not important, then Lane is bloody.",rule
3238,It can be concluded that Lane is important once knowing that Aubrey is plain.,rule
3239,"If someone who is concerned is also important, then he is not plain.",rule
3240,Mila is ancient.,fact
3241,Jason is not sad.,fact
3242,Hector is funny.,fact
3243,Martin is ancient.,fact
3244,Lauren is not dangerous.,fact
3245,Mila is not sad.,fact
3246,Lester is dangerous.,fact
3247,Martin is not sad.,fact
3248,Martin is dangerous.,fact
3249,Kiefer is not global.,fact
3250,Jason is not blue.,fact
3251,Kiefer is blue.,fact
3252,"If Hector is not blue, then Martin is not ancient.",rule
3253,"If there is someone who is either not blue or not global, then Lauren is sad.",rule
3254,Someone who is eithor sad or not funny is always global.,rule
3255,"If there is at least one people who is ancient, then Kiefer is not blue and Mila is not dangerous.",rule
3256,"If someone is not funny and not global, then he is not blue, and vice versa.",rule
3257,"If Kiefer is not global, then Hector is not ancient, and vice versa.",rule
3258,"If Martin is funny, then Jason is ancient.",rule
3259,"If someone is sad and ancient, then he is both not funny and dangerous, and vice versa.",rule
3260,Someone who is eithor blue or not funny is always dangerous.,rule
3261,Someone who is blue is always both not dangerous and funny.,rule
3262,"If there is someone who is global, then Jason is not ancient and Jason is funny.",rule
3263,Someone is not global and funny if and only if he is not blue and not ancient.,rule
3264,Stuart is happy.,fact
3265,Kurt is compassionate.,fact
3266,Casper is not beautiful.,fact
3267,Miranda is expensive.,fact
3268,Lee is not breakable.,fact
3269,Kurt is modern.,fact
3270,Miranda is breakable.,fact
3271,Ramsey is not modern.,fact
3272,Miranda is not modern.,fact
3273,Lee is expensive.,fact
3274,Kurt is not expensive.,fact
3275,Ramsey is not beautiful.,fact
3276,All not beautiful people are not compassionate.,rule
3277,All not beautiful people are compassionate.,rule
3278,Kurt being breakable implies that Stuart is beautiful and Stuart is happy.,rule
3279,It can be concluded that Stuart is compassionate once knowing that Theobold is not breakable or Theobold is happy.,rule
3280,Miranda is not happy if and only if Miranda is not compassionate.,rule
3281,"If there is someone who is breakable, then Casper is beautiful and Ramsey is happy.",rule
3282,It can be concluded that Ramsey is breakable once knowing that Lee is not expensive.,rule
3283,"If someone is expensive and not compassionate, then he is not modern, and vice versa.",rule
3284,Someone is breakable and not compassionate if and only if he is not happy and expensive.,rule
3285,"If there is at least one people who is not beautiful, then Lee is happy.",rule
3286,Someone is beautiful and not happy if and only if he is not expensive.,rule
3287,It can be concluded that Stuart is happy once knowing that Ramsey is not beautiful or Ramsey is not modern.,rule
3288,Mark is ancient.,fact
3289,Igor is funny.,fact
3290,Coleman is ancient.,fact
3291,Sherard is large.,fact
3292,Mark is elegant.,fact
3293,Coleman is not large.,fact
3294,Crispin is consistent.,fact
3295,Igor is large.,fact
3296,Igor is ancient.,fact
3297,Igor is better.,fact
3298,Beverly is not elegant.,fact
3299,Ridley is not ancient.,fact
3300,Someone being not large is equivalent to being ancient.,rule
3301,"If someone is elegant, then he is both funny and not large.",rule
3302,Someone being both consistent and not ancient is equivalent to being not large and elegant.,rule
3303,"If someone is not elegant or he is better, then he is not funny.",rule
3304,"If Igor is not better or Sherard is not funny, then Ridley is ancient.",rule
3305,"If someone who is not large is also not better, then he is elegant.",rule
3306,"If there is at least one people who is better, then Beverly is consistent.",rule
3307,Beverly being large or Igor being not better implies that Crispin is not funny.,rule
3308,"If there is someone who is both elegant and large, then Beverly is not better.",rule
3309,"If someone who is not better is also large, then he is ancient.",rule
3310,Someone who is not elegant is always not large.,rule
3311,Someone is not consistent and funny if and only if he is not large.,rule
3312,Gresham is environmental.,fact
3313,Morris is warm-hearted.,fact
3314,Truman is not environmental.,fact
3315,Kelsey is not environmental.,fact
3316,Truman is not electrical.,fact
3317,Kelsey is not nutty.,fact
3318,Truman is not warm-hearted.,fact
3319,Gresham is not nutty.,fact
3320,Hector is afraid.,fact
3321,Homer is not afraid.,fact
3322,Homer is environmental.,fact
3323,Reginald is not warm-hearted.,fact
3324,"As long as someone is electrical and not afraid, he is not warm-hearted and thoughtless.",rule
3325,"If Homer is environmental, then Kelsey is afraid.",rule
3326,"If Gresham is not environmental, then Homer is not warm-hearted, and vice versa.",rule
3327,Homer being not warm-hearted or Kelsey being nutty implies that Homer is not electrical.,rule
3328,Someone being both nutty and not warm-hearted is equivalent to being thoughtless.,rule
3329,"If there is someone who is environmental, then Truman is not thoughtless and Reginald is nutty.",rule
3330,"If someone is not afraid or not environmental, then he is electrical.",rule
3331,"If there is someone who is either not nutty or not environmental, then Truman is not electrical.",rule
3332,"If someone who is electrical is also not afraid, then he is nutty.",rule
3333,Morris being not electrical and Hector being warm-hearted imply that Homer is thoughtless.,rule
3334,"If there is at least one people who is not environmental, then Hector is not thoughtless and Hector is electrical.",rule
3335,"If someone is electrical and not warm-hearted, then he is both not nutty and not thoughtless, and vice versa.",rule
3336,Silvia is relevant.,fact
3337,Silvia is sane.,fact
3338,Ian is not courageous.,fact
3339,Lombard is not relevant.,fact
3340,Silvia is comprehensive.,fact
3341,Lombard is courageous.,fact
3342,Ian is automatic.,fact
3343,Glenn is relevant.,fact
3344,Silvia is not automatic.,fact
3345,Lombard is not sufficient.,fact
3346,Ian is comprehensive.,fact
3347,Ian is not sufficient.,fact
3348,"If someone is automatic, then he is both not courageous and comprehensive.",rule
3349,"If there is at least one people who is not sane, then Roswell is comprehensive and Ian is not sufficient.",rule
3350,"If Lombard is courageous, then Roswell is sufficient, and vice versa.",rule
3351,Someone who is not sufficient is always both sane and not courageous.,rule
3352,"If there is at least one people who is not automatic or sufficient, then Roswell is comprehensive.",rule
3353,"If there is at least one people who is not sane, then Glenn is not comprehensive and Roswell is relevant.",rule
3354,"If someone is both not sane and relevant, then he is not sufficient.",rule
3355,"If there is at least one people who is both not automatic and not sane, then Ian is courageous.",rule
3356,It can be concluded that Glenn is comprehensive once knowing that Glenn is sane or Lombard is not automatic.,rule
3357,It can be concluded that Rick is comprehensive once knowing that Glenn is sane.,rule
3358,"If there is someone who is not sane, then Ian is not automatic.",rule
3359,It can be concluded that Glenn is not comprehensive and Glenn is not relevant once knowing that Ian is not sufficient.,rule
3360,Humphrey is psychological.,fact
3361,Humphrey is nutty.,fact
3362,Braden is not foolish.,fact
3363,Carroll is not tame.,fact
3364,Thomas is psychological.,fact
3365,Clifford is nutty.,fact
3366,Humphrey is odd.,fact
3367,Braden is not psychological.,fact
3368,Braden is odd.,fact
3369,Thomas is zealous.,fact
3370,Thomas is not nutty.,fact
3371,Gloria is tame.,fact
3372,"If there is someone who is not zealous, then Humphrey is not nutty.",rule
3373,Someone being both psychological and odd is equivalent to being zealous.,rule
3374,"If there is someone who is psychological, then Clifford is foolish and Carroll is zealous.",rule
3375,Someone who is both tame and zealous is always not psychological.,rule
3376,"If someone is not tame, then he is not foolish.",rule
3377,"As long as someone is nutty, he is zealous and foolish.",rule
3378,Gloria being tame is equivalent to Clifford being zealous.,rule
3379,"If Thomas is not foolish, then Carroll is not psychological and Thomas is tame, and vice versa.",rule
3380,Someone is not nutty and tame if and only if he is zealous.,rule
3381,"If there is at least one people who is not zealous or odd, then Carroll is not nutty.",rule
3382,"If there is someone who is both tame and nutty, then Carroll is not zealous.",rule
3383,"If there is at least one people who is nutty or tame, then Gloria is not psychological.",rule
3384,Janet is hypocritical.,fact
3385,Janet is not charming.,fact
3386,Matthew is not charming.,fact
3387,Connell is not pleasant.,fact
3388,Connell is not hypocritical.,fact
3389,Matthew is naughty.,fact
3390,Ives is not charming.,fact
3391,Titus is naughty.,fact
3392,Connell is comprehensive.,fact
3393,Isaac is not charming.,fact
